month,trades,wins,pnl,wr
2009-03,11,3,-12.31,27.3
2009-04,19,6,-6.88,31.6
2009-05,18,7,6.42,38.9
2009-06,17,2,-29.81,11.8
2009-07,23,7,-4.73,30.4
2009-08,18,6,-1.15,33.3
2009-09,22,4,-23.04,18.2
2009-10,20,4,-19.74,20.0
2009-11,19,7,13.77,36.8
2009-12,17,6,19.16,35.3
2010-01,24,7,-7.14,29.2
2010-02,18,5,2.04,27.8
2010-03,21,6,-10.69,28.6
2010-04,19,5,-4.85,26.3
2010-05,19,4,16.9,21.1
2010-06,23,8,-0.41,34.8
2010-07,13,2,-23.34,15.4
2010-08,21,3,-24.88,14.3
2010-09,20,4,-7.92,20.0
2010-10,18,9,43.57,50.0
2010-11,23,6,9.17,26.1
2010-12,25,5,-26.74,20.0
2011-01,22,6,-8.35,27.3
2011-02,19,1,-34.54,5.3
2011-03,20,6,-20.61,30.0
2011-04,18,3,-29.8,16.7
2011-05,27,4,-76.75,14.8
2011-06,19,3,-30.54,15.8
2011-07,15,5,19.46,33.3
2011-08,22,4,-31.95,18.2
2011-09,24,7,-20.63,29.2
2011-10,22,5,9.94,22.7
2011-11,16,4,62.45,25.0
2011-12,17,9,82.39,52.9
2012-01,21,7,4.28,33.3
2012-02,19,9,44.8,47.4
2012-03,23,7,-15.37,30.4
2012-04,19,4,-31.18,21.1
2012-05,23,4,-34.79,17.4
2012-06,17,2,-12.93,11.8
2012-07,20,3,-26.56,15.0
2012-08,21,6,-22.71,28.6
2012-09,22,3,-41.34,13.6
2012-10,16,7,5.3,43.8
2012-11,14,6,36.5,42.9
2012-12,17,3,-24.66,17.6
2013-01,16,8,18.35,50.0
2013-02,11,6,32.92,54.5
2013-03,18,7,5.13,38.9
2013-04,21,7,33.78,33.3
2013-05,22,8,23.7,36.4
2013-06,19,7,-2.75,36.8
2013-07,23,4,-24.11,17.4
2013-08,9,0,-33.01,0.0
2013-09,18,5,8.83,27.8
2013-10,20,11,48.96,55.0
2013-11,21,5,-9.32,23.8
2013-12,21,5,-18.23,23.8
2014-01,15,4,-6.82,26.7
2014-02,16,4,-1.51,25.0
2014-03,17,5,-3.98,29.4
2014-04,19,4,-10.62,21.1
2014-05,14,4,6.34,28.6
2014-06,15,6,8.07,40.0
2014-07,18,7,-3.66,38.9
2014-08,18,4,-12.25,22.2
2014-09,16,4,-7.62,25.0
2014-10,24,4,-27.85,16.7
2014-11,17,1,-30.43,5.9
2014-12,18,7,35.37,38.9
2015-01,16,9,42.29,56.2
2015-02,14,6,7.66,42.9
2015-03,18,10,12.61,55.6
2015-04,21,6,10.85,28.6
2015-05,16,5,1.21,31.2
2015-06,18,3,-17.97,16.7
2015-07,19,9,21.1,47.4
2015-08,13,3,-14.86,23.1
2015-09,23,7,-6.41,30.4
2015-10,19,8,16.99,42.1
2015-11,17,5,-2.35,29.4
2015-12,16,6,17.01,37.5
2016-01,17,6,1.81,35.3
2016-02,18,6,19.5,33.3
2016-03,20,8,42.91,40.0
2016-04,17,5,4.91,29.4
2016-05,20,13,49.91,65.0
2016-06,17,2,-19.43,11.8
2016-07,24,9,4.19,37.5
2016-08,19,6,6.85,31.6
2016-09,20,5,-20.19,25.0
2016-10,20,3,-12.67,15.0
2016-11,19,11,68.7,57.9
2016-12,20,6,0.91,30.0
2017-01,25,3,-48.46,12.0
2017-02,21,4,-20.02,19.0
2017-03,19,10,21.73,52.6
2017-04,20,5,-3.0,25.0
2017-05,12,5,9.85,41.7
2017-06,13,5,-5.45,38.5
2017-07,15,7,6.66,46.7
2017-08,9,3,-1.61,33.3
2017-09,18,5,4.95,27.8
2017-10,18,4,-9.55,22.2
2017-11,19,5,2.4,26.3
2017-12,21,3,-18.75,14.3
2018-01,18,2,-17.84,11.1
2018-02,18,9,35.69,50.0
2018-03,13,4,-0.65,30.8
2018-04,20,9,17.41,45.0
2018-05,18,7,6.6,38.9
2018-06,18,5,-12.45,27.8
2018-07,22,8,8.36,36.4
2018-08,26,9,7.55,34.6
2018-09,17,4,-2.05,23.5
2018-10,21,5,-5.47,23.8
2018-11,17,6,-1.97,35.3
2018-12,22,7,-6.55,31.8
2019-01,17,7,3.18,41.2
2019-02,20,7,10.57,35.0
2019-03,26,4,-16.54,15.4
2019-04,17,7,2.33,41.2
2019-05,22,8,-8.83,36.4
2019-06,16,2,-23.0,12.5
2019-07,22,10,29.2,45.5
2019-08,19,2,-37.17,10.5
2019-09,15,5,13.64,33.3
2019-10,16,6,6.15,37.5
2019-11,24,8,-2.3,33.3
2019-12,15,6,-0.78,40.0
2020-01,18,5,16.04,27.8
2020-02,14,5,29.47,35.7
2020-03,16,5,91.37,31.2
2020-04,23,8,-8.71,34.8
2020-05,19,8,8.83,42.1
2020-06,23,6,-16.18,26.1
2020-07,19,7,-4.01,36.8
2020-08,26,11,51.35,42.3
2020-09,23,9,9.76,39.1
2020-10,23,8,-17.43,34.8
2020-11,16,4,-18.77,25.0
2020-12,22,10,40.43,45.5
2021-01,23,10,2.84,43.5
2021-02,16,6,1.67,37.5
2021-03,19,7,-10.0,36.8
2021-04,21,7,-27.05,33.3
2021-05,18,9,40.28,50.0
2021-06,20,10,6.42,50.0
2021-07,25,10,-7.55,40.0
2021-08,25,10,-15.03,40.0
2021-09,21,7,-4.24,33.3
2021-10,16,5,6.37,31.2
2021-11,19,6,-18.96,31.6
2021-12,16,6,1.21,37.5
2022-01,20,9,-1.6,45.0
2022-02,14,7,51.87,50.0
2022-03,19,8,26.5,42.1
2022-04,21,6,-28.9,28.6
2022-05,21,7,8.52,33.3
2022-06,17,7,-3.27,41.2
2022-07,19,9,65.63,47.4
2022-08,20,6,-20.31,30.0
2022-09,16,5,-3.78,31.2
2022-10,17,4,-25.97,23.5
2022-11,21,6,-11.01,28.6
2022-12,26,7,-1.28,26.9
2023-01,16,6,14.66,37.5
2023-02,14,6,36.18,42.9
2023-03,8,3,4.88,37.5
2023-04,7,4,34.67,57.1
2023-05,6,2,9.09,33.3
2023-06,10,3,6.85,30.0
2023-07,8,4,2.45,50.0
2023-08,22,8,-15.15,36.4
2023-09,19,10,17.55,52.6
2023-10,22,6,-12.86,27.3
2023-11,23,7,9.89,30.4
2023-12,14,5,-10.2,35.7
2024-01,18,5,-2.55,27.8
2024-02,16,2,-28.2,12.5
2024-03,17,5,4.53,29.4
2024-04,25,9,25.13,36.0
2024-05,20,9,50.43,45.0
2024-06,19,6,28.18,31.6
2024-07,28,12,9.42,42.9
2024-08,20,6,-30.56,30.0
2024-09,22,3,-68.42,13.6
2024-10,24,8,25.46,33.3
2024-11,18,12,63.74,66.7
2024-12,10,2,-21.01,20.0
2025-01,24,9,-14.65,37.5
2025-02,18,8,65.58,44.4
2025-03,24,9,20.74,37.5
2025-04,19,8,66.15,42.1
2025-05,19,2,-144.89,10.5
2025-06,19,10,24.92,52.6
2025-07,27,14,105.63,51.9
2025-08,26,7,-11.62,26.9
2025-09,23,9,14.76,39.1
2025-10,21,7,-48.19,33.3
2025-11,18,5,11.62,27.8
2025-12,12,6,66.54,50.0
2026-01,22,8,267.02,36.4
2026-02,17,7,-79.96,41.2
2026-03,15,3,-272.32,20.0
