date,direction,is_second_chance,entry_time,exit_time,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_dollar,win,month,cumulative_pnl,equity
2009-03-16,long,True,2009-03-16 09:55:00-04:00,2009-03-16 15:55:00-04:00,919.15,916.63,931.75,924.3,ForceClose,5.15,5.15,True,2009-03,5.15,10005.15
2009-03-18,long,False,2009-03-18 09:35:00-04:00,2009-03-18 10:25:00-04:00,904.93,903.03,914.43,903.03,SL,-1.9,-1.9,False,2009-03,3.2500000000000004,10003.25
2009-03-19,long,False,2009-03-19 09:35:00-04:00,2009-03-19 09:45:00-04:00,957.15,949.08,997.5,949.08,SL,-8.07,-8.07,False,2009-03,-4.82,9995.18
2009-03-19,short,True,2009-03-19 09:55:00-04:00,2009-03-19 10:30:00-04:00,948.28,954.25,918.43,954.25,SL,-5.97,-5.97,False,2009-03,-10.79,9989.21
2009-03-20,long,False,2009-03-20 09:40:00-04:00,2009-03-20 15:55:00-04:00,954.75,947.28,992.1,952.83,ForceClose,-1.92,-1.92,False,2009-03,-12.709999999999999,9987.29
2009-03-23,short,False,2009-03-23 09:55:00-04:00,2009-03-23 15:55:00-04:00,947.9,954.52,914.8,936.65,ForceClose,11.25,11.25,True,2009-03,-1.459999999999999,9998.54
2009-03-24,short,True,2009-03-24 10:05:00-04:00,2009-03-24 10:40:00-04:00,919.48,924.05,896.63,924.05,SL,-4.57,-4.57,False,2009-03,-6.029999999999999,9993.97
2009-03-25,short,False,2009-03-25 09:35:00-04:00,2009-03-25 09:55:00-04:00,921.08,924.87,902.13,924.87,SL,-3.79,-3.79,False,2009-03,-9.82,9990.18
2009-03-26,short,False,2009-03-26 09:35:00-04:00,2009-03-26 15:55:00-04:00,940.13,943.15,925.03,935.13,ForceClose,5.0,5.0,True,2009-03,-4.82,9995.18
2009-03-27,short,False,2009-03-27 11:05:00-04:00,2009-03-27 15:55:00-04:00,922.93,927.57,899.73,923.9,ForceClose,-0.97,-0.97,False,2009-03,-5.79,9994.21
2009-03-30,long,False,2009-03-30 09:35:00-04:00,2009-03-30 11:55:00-04:00,922.2,915.68,954.8,915.68,SL,-6.52,-6.52,False,2009-03,-12.309999999999999,9987.69
2009-04-01,short,False,2009-04-01 10:00:00-04:00,2009-04-01 15:55:00-04:00,924.78,929.82,899.58,925.45,ForceClose,-0.67,-0.67,False,2009-04,-12.979999999999999,9987.02
2009-04-06,short,False,2009-04-06 09:35:00-04:00,2009-04-06 15:55:00-04:00,872.18,879.45,835.83,868.6,ForceClose,3.58,3.58,True,2009-04,-9.399999999999999,9990.6
2009-04-07,long,False,2009-04-07 09:35:00-04:00,2009-04-07 15:55:00-04:00,881.23,877.01,902.33,882.83,ForceClose,1.6,1.6,True,2009-04,-7.799999999999999,9992.2
2009-04-08,short,False,2009-04-08 09:45:00-04:00,2009-04-08 11:05:00-04:00,882.93,887.4,860.58,887.4,SL,-4.47,-4.47,False,2009-04,-12.27,9987.73
2009-04-09,long,False,2009-04-09 09:45:00-04:00,2009-04-09 10:15:00-04:00,880.7,876.83,900.05,876.83,SL,-3.87,-3.87,False,2009-04,-16.14,9983.86
2009-04-13,short,False,2009-04-13 09:45:00-04:00,2009-04-13 11:05:00-04:00,895.85,898.42,883.0,898.42,SL,-2.57,-2.57,False,2009-04,-18.71,9981.29
2009-04-14,short,False,2009-04-14 09:35:00-04:00,2009-04-14 12:45:00-04:00,891.4,893.62,880.3,893.62,SL,-2.22,-2.22,False,2009-04,-20.93,9979.07
2009-04-17,short,False,2009-04-17 09:35:00-04:00,2009-04-17 15:55:00-04:00,871.38,872.95,863.53,867.38,ForceClose,4.0,4.0,True,2009-04,-16.93,9983.07
2009-04-20,long,False,2009-04-20 09:45:00-04:00,2009-04-20 15:55:00-04:00,878.65,875.18,896.0,885.15,ForceClose,6.5,6.5,True,2009-04,-10.43,9989.57
2009-04-21,short,False,2009-04-21 09:35:00-04:00,2009-04-21 15:55:00-04:00,891.25,894.55,874.75,883.98,ForceClose,7.27,7.27,True,2009-04,-3.16,9996.84
2009-04-24,long,False,2009-04-24 09:45:00-04:00,2009-04-24 10:00:00-04:00,909.85,907.08,923.7,907.08,SL,-2.77,-2.77,False,2009-04,-5.93,9994.07
2009-04-24,short,True,2009-04-24 10:00:00-04:00,2009-04-24 11:10:00-04:00,906.28,909.32,891.08,909.32,SL,-3.04,-3.04,False,2009-04,-8.969999999999999,9991.03
2009-04-27,short,False,2009-04-27 09:35:00-04:00,2009-04-27 09:40:00-04:00,906.93,909.05,896.33,909.05,SL,-2.12,-2.12,False,2009-04,-11.09,9988.91
2009-04-27,long,True,2009-04-27 09:40:00-04:00,2009-04-27 13:25:00-04:00,909.23,907.16,919.58,907.16,SL,-2.07,-2.07,False,2009-04,-13.16,9986.84
2009-04-28,short,False,2009-04-28 09:35:00-04:00,2009-04-28 10:00:00-04:00,887.73,889.57,878.53,889.57,SL,-1.84,-1.84,False,2009-04,-15.0,9985.0
2009-04-28,long,True,2009-04-28 10:00:00-04:00,2009-04-28 15:55:00-04:00,890.38,888.66,898.98,894.25,ForceClose,3.87,3.87,True,2009-04,-11.129999999999999,9988.87
2009-04-29,short,False,2009-04-29 09:35:00-04:00,2009-04-29 11:40:00-04:00,897.48,901.05,879.63,901.05,SL,-3.57,-3.57,False,2009-04,-14.7,9985.3
2009-04-29,long,True,2009-04-29 12:00:00-04:00,2009-04-29 12:30:00-04:00,901.28,899.03,912.53,899.03,SL,-2.25,-2.25,False,2009-04,-16.95,9983.05
2009-04-30,short,True,2009-04-30 10:20:00-04:00,2009-04-30 11:15:00-04:00,882.78,885.02,871.58,885.02,SL,-2.24,-2.24,False,2009-04,-19.189999999999998,9980.81
2009-05-04,long,False,2009-05-04 09:35:00-04:00,2009-05-04 15:55:00-04:00,904.9,891.31,972.85,902.35,ForceClose,-2.55,-2.55,False,2009-05,-21.74,9978.26
2009-05-05,short,False,2009-05-05 09:40:00-04:00,2009-05-05 15:55:00-04:00,910.33,913.32,895.38,899.23,ForceClose,11.1,11.1,True,2009-05,-10.639999999999999,9989.36
2009-05-06,long,True,2009-05-06 09:55:00-04:00,2009-05-06 10:05:00-04:00,911.3,909.58,919.9,909.58,SL,-1.72,-1.72,False,2009-05,-12.36,9987.64
2009-05-08,long,False,2009-05-08 09:40:00-04:00,2009-05-08 09:55:00-04:00,914.0,912.48,921.6,912.48,SL,-1.52,-1.52,False,2009-05,-13.879999999999999,9986.12
2009-05-13,long,False,2009-05-13 09:40:00-04:00,2009-05-13 15:55:00-04:00,922.75,919.03,941.35,926.83,ForceClose,4.08,4.08,True,2009-05,-9.799999999999999,9990.2
2009-05-14,short,False,2009-05-14 09:35:00-04:00,2009-05-14 09:55:00-04:00,924.75,925.6,920.5,925.6,SL,-0.85,-0.85,False,2009-05,-10.649999999999999,9989.35
2009-05-14,long,True,2009-05-14 10:20:00-04:00,2009-05-14 12:50:00-04:00,925.75,924.81,930.45,924.81,SL,-0.94,-0.94,False,2009-05,-11.589999999999998,9988.41
